diff_median_sample,file,gnss_max,gnss_median,gnss_min,gnss_p01,gnss_p99,lidar_max,lidar_min,name,point_count,pos_cover_rate,pulse_max,pulse_min,reason,seq,size_bytes,status,total_pulses
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00082_20260510190830.h5,40109.342215336,40107.895107416,40106.321419524,40106.361871596004,40109.310249311995,40127.342215336,40124.321419524,L1_cap_00082_20260510190830.h5,2027794,1.0,1467641.0,1.0,,82,218717132,OK,1467641.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00083_20260510190833.h5,40112.34292308,40110.850141896,40109.342217336,40109.371640048004,40112.314510936,40130.34292308,40127.342217336,L1_cap_00083_20260510190833.h5,2159429,1.0,1481585.0,1.0,,83,235740644,OK,1481585.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00084_20260510190836.h5,40115.346766852,40113.84972964,40112.342939084,40112.374221244,40115.315209488,40133.346766852,40130.342939084,L1_cap_00084_20260510190836.h5,2242461,1.0,1488578.0,1.0,,84,257550200,OK,1488578.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00085_20260510190839.h5,40118.348258628,40116.826285256,40115.346768852,40115.37160726,40118.315862179996,40136.348258628,40133.346768852,L1_cap_00085_20260510190839.h5,2222115,1.0,1486492.0,1.0,,85,254734336,OK,1486492.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00086_20260510190842.h5,40121.349316392,40119.853967184,40118.348260628,40118.374664204,40121.32073080112,40139.349316392,40136.348260628,L1_cap_00086_20260510190842.h5,2166173,1.0,1487108.0,1.0,,86,242920256,OK,1487108.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00087_20260510190845.h5,40124.351228212,40122.844302896,40121.349318392,40121.378876544,40124.324414072,40142.351228212,40139.349318392,L1_cap_00087_20260510190845.h5,2078653,1.0,1486331.0,1.0,,87,229456964,OK,1486331.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00088_20260510190848.h5,40127.332811924,40125.788722436,40124.351230212,40124.373753008,40127.300845074635,40145.332811924,40142.351230212,L1_cap_00088_20260510190848.h5,1984635,1.0,1411767.0,1.0,,88,220613484,OK,1411767.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00089_20260510190851.h5,40130.354841852,40128.878489728,40127.332813924,40127.367143284,40130.321148496,40148.354841852,40145.332813924,L1_cap_00089_20260510190851.h5,2064860,1.0,1462055.0,1.0,,89,234180224,OK,1462055.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00090_20260510190854.h5,40133.357383684,40131.868555464,40130.354857852,40130.383540004,40133.330145844004,40151.357383684,40148.354857852,L1_cap_00090_20260510190854.h5,2090686,1.0,1483685.0,1.0,,90,236003456,OK,1483685.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00091_20260510190857.h5,40136.36058358,40134.868217304,40133.357399684,40133.39150456,40136.328284708005,40154.36058358,40151.357399684,L1_cap_00091_20260510190857.h5,2074536,1.0,1483209.0,1.0,,91,235297236,OK,1483209.0
